id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4065,2026-08-21T00:00:00Z,Armed Forces Bill,Title: Armed Forces Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.16
4260,2026-07-20T00:00:00Z,Public Procurement (British Goods and Services) Bill,Title: Public Procurement (British Goods and Services) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.4,17
4098,2026-05-06T00:00:00Z,United States Military and Security Operations (Oversight) Bill,Title: United States Military and Security Operations (Oversight) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,21.01
3951,2026-05-05T00:00:00Z,Food Products (Market Regulation and Public Procurement) Bill,Title: Food Products (Market Regulation and Public Procurement) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,17.9
3795,2026-05-05T00:00:00Z,Military Action Bill,Title: Military Action Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,17.68
4096,2026-05-05T00:00:00Z,Military Action (Parliamentary Approval) (No. 2) Bill,Title: Military Action (Parliamentary Approval) (No. 2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.05,16.11
4119,2026-05-01T00:00:00Z,Defence Bonds (Proposals) Bill,Title: Defence Bonds (Proposals) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.22
3995,2026-04-30T00:00:00Z,Armed Forces (Deployment Outside the UK) Bill,Title: Armed Forces (Deployment Outside the UK) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.34
4074,2026-04-30T00:00:00Z,Armed Forces Compensation Scheme and War Pension Scheme (Report) Bill,Title: Armed Forces Compensation Scheme and War Pension Scheme (Report) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.2,16.2
4004,2026-04-30T00:00:00Z,Diego Garcia Military Base and British Indian Ocean Territory Bill,Title: Diego Garcia Military Base and British Indian Ocean Territory Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,20.7
3881,2025-09-04T00:00:00Z,Armed Forces Commissioner Act,Title: Armed Forces Commissioner Act | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.01
3668,2025-02-12T00:00:00Z,Military Action (Parliamentary Approval) Bill,Title: Military Action (Parliamentary Approval) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.05,20.89
1694,2025-01-06T00:00:00Z,Armed Forces Act 2016,Title: Armed Forces Act 2016 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.65
3228,2023-11-03T00:00:00Z,War Pension Scheme and Armed Forces Compensation Scheme (Public Inquiry) Bill,Title: War Pension Scheme and Armed Forces Compensation Scheme (Public Inquiry) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.2,17.13
3159,2023-10-31T00:00:00Z,Procurement Act 2023,Title: Procurement Act 2023 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16
2822,2021-12-20T00:00:00Z,Armed Forces Act 2021,Title: Armed Forces Act 2021 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.65
2571,2021-05-05T00:00:00Z,Armed Forces (Posthumous Pardons) Bill [HL],Title: Armed Forces (Posthumous Pardons) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.35,16.03
2171,2019-09-17T00:00:00Z,Armed Forces (Statute of Limitations) Bill,Title: Armed Forces (Statute of Limitations) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,16.72
2331,2019-03-22T00:00:00Z,Armed Forces (Derogation from European Convention on Human Rights) Bill,Title: Armed Forces (Derogation from European Convention on Human Rights) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.45
2369,2019-03-22T00:00:00Z,Immigration (Armed Forces) Bill,Title: Immigration (Armed Forces) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.01
2348,2019-03-21T00:00:00Z,Armed Forces Covenant (Duty of Public Authorities) Bill,Title: Armed Forces Covenant (Duty of Public Authorities) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,17.9
2268,2019-02-12T00:00:00Z,Armed Forces Representative Body Bill,Title: Armed Forces Representative Body Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.94
2117,2018-12-07T00:00:00Z,Armed Forces (Volunteer Reserve) Bill,Title: Armed Forces (Volunteer Reserve) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2,16.46
2002,2018-02-09T00:00:00Z,Armed Forces (Flexible Working) Act 2018,Title: Armed Forces (Flexible Working) Act 2018 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.65,16.03
1783,2017-06-20T00:00:00Z,Armed Forces Deployment (Royal Prerogative) Bill [HL],Title: Armed Forces Deployment (Royal Prerogative) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.65
1884,2017-03-03T00:00:00Z,Income Tax (Non-Military Expenditure) Bill,Title: Income Tax (Non-Military Expenditure) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,18.11
1727,2016-05-12T00:00:00Z,Armed Forces Covenant (Implementation) (United Kingdom) Bill,Title: Armed Forces Covenant (Implementation) (United Kingdom) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,19.62
1633,2016-05-12T00:00:00Z,Defence Expenditure (NATO Target) Bill,Title: Defence Expenditure (NATO Target) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,17.94
1434,2015-03-30T00:00:00Z,Armed Forces (Prevention of Discrimination) Bill,Title: Armed Forces (Prevention of Discrimination) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,18.11
1515,2015-03-30T00:00:00Z,Armed Forces (Prevention of Discrimination) (No. 2) Bill,Title: Armed Forces (Prevention of Discrimination) (No. 2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,13.58
1517,2015-03-30T00:00:00Z,National Defence Medal Bill,Title: National Defence Medal Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,17.01
1378,2015-03-27T00:00:00Z,Armed Forces (Service Complaints and Financial Assistance) Act 2015,Title: Armed Forces (Service Complaints and Financial Assistance) Act 2015 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.6,16.99
1276,2014-05-20T00:00:00Z,Defence Reform Act,Title: Defence Reform Act | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,16
1208,2014-05-15T00:00:00Z,Apprenticeships and Skills (Public Procurement Contracts) Bill,Title: Apprenticeships and Skills (Public Procurement Contracts) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.65
1326,2014-05-15T00:00:00Z,Credit Union (Armed Forces) Bill,Title: Credit Union (Armed Forces) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,15.73
1204,2014-03-14T00:00:00Z,Citizenship (Armed Forces),Title: Citizenship (Armed Forces) | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.68
1151,2013-04-26T00:00:00Z,National Commonwealth Military Day Bill,Title: National Commonwealth Military Day Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.68
905,2012-05-02T00:00:00Z,Devolved Administrations (Armed Forces Covenant Reports) Bill,Title: Devolved Administrations (Armed Forces Covenant Reports) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,18.96
943,2012-05-01T00:00:00Z,Armed Forces (Germany) Bill,Title: Armed Forces (Germany) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.22
734,2012-05-01T00:00:00Z,Armed Forces (Leave) Bill,Title: Armed Forces (Leave) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,14.65
789,2012-05-01T00:00:00Z,Armed Forces Charter Bill,Title: Armed Forces Charter Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.43
