id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4284,2026-09-04T00:00:00Z,Climate Change Act 2008 (Repeal) (No. 2) Bill,Title: Climate Change Act 2008 (Repeal) (No. 2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,10.47
4207,2026-08-19T00:00:00Z,Taxation (Energy and Vehicles) Act 2026,Title: Taxation (Energy and Vehicles) Act 2026 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.42
4269,2026-07-16T00:00:00Z,Energy and Digital Infrastructure (Planning) Bill,Title: Energy and Digital Infrastructure (Planning) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,18.8
4229,2026-06-25T00:00:00Z,Domestic Energy (Value Added Tax) Bill,Title: Domestic Energy (Value Added Tax) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,17.42
4185,2026-06-23T00:00:00Z,Battery Energy Storage (Planning and Regulation) Bill,Title: Battery Energy Storage (Planning and Regulation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,18.96
4204,2026-06-23T00:00:00Z,Climate Change Act 2008 (Repeal) Bill,Title: Climate Change Act 2008 (Repeal) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.64
4188,2026-06-23T00:00:00Z,Electricity Works (Small Business Compensation Proposals) Bill,Title: Electricity Works (Small Business Compensation Proposals) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,19.62
4120,2026-05-05T00:00:00Z,Local Area Energy Plans Bill,Title: Local Area Energy Plans Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.2
4071,2026-05-01T00:00:00Z,Domestic Energy Efficiency (Call for Evidence) Bill,Title: Domestic Energy Efficiency (Call for Evidence) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.35,18.96
3960,2026-05-01T00:00:00Z,Energy (Social Tariff) Bill,Title: Energy (Social Tariff) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,17.01
3975,2026-05-01T00:00:00Z,Energy and Employment Rights Bill,Title: Energy and Employment Rights Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.46
3806,2026-04-30T00:00:00Z,Battery Energy Storage Systems (Fire Safety) Bill,Title: Battery Energy Storage Systems (Fire Safety) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.35,18.31
3904,2026-04-30T00:00:00Z,Carbon Emissions from Buildings (Net Zero) Bill,Title: Carbon Emissions from Buildings (Net Zero) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.34
3776,2026-04-30T00:00:00Z,Climate and Nature Bill,Title: Climate and Nature Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.43
