id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4129,2026-08-25T00:00:00Z,Financial Services and Markets Bill [HL],Title: Financial Services and Markets Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.9,16.72
4207,2026-08-19T00:00:00Z,Taxation (Energy and Vehicles) Act 2026,Title: Taxation (Energy and Vehicles) Act 2026 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.42
4225,2026-06-25T00:00:00Z,Children’s Clothing (Value Added Tax) Bill,Title: Children’s Clothing (Value Added Tax) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,16.03
4229,2026-06-25T00:00:00Z,Domestic Energy (Value Added Tax) Bill,Title: Domestic Energy (Value Added Tax) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,17.42
4230,2026-06-25T00:00:00Z,Exemption from Value Added Tax (Listed Places of Worship) Bill,Title: Exemption from Value Added Tax (Listed Places of Worship) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,16.76
4231,2026-06-25T00:00:00Z,Exemption from Value Added Tax (Public Electric Vehicle Charging Points) Bill,Title: Exemption from Value Added Tax (Public Electric Vehicle Charging Points) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,18.2
4233,2026-06-25T00:00:00Z,Health Insurance (Exemption from Insurance Premium Tax) Bill,Title: Health Insurance (Exemption from Insurance Premium Tax) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,17.9
4244,2026-06-25T00:00:00Z,Leisure and Fitness Facilities (Value Added Tax) Bill,Title: Leisure and Fitness Facilities (Value Added Tax) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.95,17.28
4196,2026-06-23T00:00:00Z,Hospitality (Value Added Tax) Bill,Title: Hospitality (Value Added Tax) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.55,17.94
4205,2026-06-23T00:00:00Z,Hospitality Services (Value Added Tax Exemption) Bill,Title: Hospitality Services (Value Added Tax Exemption) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,19.62
4181,2026-06-23T00:00:00Z,In-Person Banking Services Bill,Title: In-Person Banking Services Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.46
4206,2026-06-23T00:00:00Z,Sporting and Physical Education Services (Value Added Tax Exemption) Bill,Title: Sporting and Physical Education Services (Value Added Tax Exemption) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,19.57
4209,2026-06-23T00:00:00Z,Tax Reliefs Bill,Title: Tax Reliefs Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,15.16
4040,2026-05-06T00:00:00Z,Tax Reliefs (Evaluation) Bill,Title: Tax Reliefs (Evaluation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,17.79
4121,2026-05-05T00:00:00Z,In-person Banking Services Bill,Title: In-person Banking Services Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.46
3856,2026-05-01T00:00:00Z,Exemption from Value Added Tax (Miscellaneous Provisions) Bill,Title: Exemption from Value Added Tax (Miscellaneous Provisions) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,19.15
3326,2024-08-19T00:00:00Z,Financial Services and Markets Act 2023,Title: Financial Services and Markets Act 2023 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.9,16.72
