id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4124,2026-07-19T23:00:00Z,Health Bill,Title: Health Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.9
4272,2026-07-15T23:00:00Z,General Medical Council (Fitness to Practise) Rules (Amendment) Bill,Title: General Medical Council (Fitness to Practise) Rules (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.2,18.17
4149,2026-07-05T23:00:00Z,Mental Health Support (Sentence of Detention and Imprisonment for Public Protection) Bill [HL],Title: Mental Health Support (Sentence of Detention and Imprisonment for Public Protection) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.1,18.35
4257,2026-07-01T23:00:00Z,Medical Services (Rural Areas) Bill,Title: Medical Services (Rural Areas) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.68
4233,2026-06-24T23:00:00Z,Health Insurance (Exemption from Insurance Premium Tax) Bill,Title: Health Insurance (Exemption from Insurance Premium Tax) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,17.9
4236,2026-06-24T23:00:00Z,National Health Service Co-Funding and Co-Payment Bill,Title: National Health Service Co-Funding and Co-Payment Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.81
4237,2026-06-24T23:00:00Z,NHS England (Alternative Treatment) Bill,Title: NHS England (Alternative Treatment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,17.2
4238,2026-06-24T23:00:00Z,Public Health (Control of Disease) Act 1984 (Amendment) Bill,Title: Public Health (Control of Disease) Act 1984 (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.2,15.81
4196,2026-06-22T23:00:00Z,Hospitality (Value Added Tax) Bill,Title: Hospitality (Value Added Tax) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.55,17.94
4205,2026-06-22T23:00:00Z,Hospitality Services (Value Added Tax Exemption) Bill,Title: Hospitality Services (Value Added Tax Exemption) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,19.62
4201,2026-06-22T23:00:00Z,"Non-Domestic Rating (Retail, Hospitality and Leisure) Bill","Title: Non-Domestic Rating (Retail, Hospitality and Leisure) Bill | Summary: No summary available | Description: No description available",UK_Parliament_Bills_Enriched_Corpus,2.6,18.53
4177,2026-06-17T23:00:00Z,Coastal Communities (Health) Bill,Title: Coastal Communities (Health) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.01
4150,2026-06-16T23:00:00Z,Health and Disability Benefits Reform Bill [HL],Title: Health and Disability Benefits Reform Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.25,17.65
3826,2026-05-05T23:00:00Z,Trade Agreements (Exclusion of National Health Services) Bill,Title: Trade Agreements (Exclusion of National Health Services) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.05,17.9
