id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4267,2026-07-19T23:00:00Z,Freedom of Information Act 2000 (Amendment) Bill,Title: Freedom of Information Act 2000 (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.95,17
4272,2026-07-15T23:00:00Z,General Medical Council (Fitness to Practise) Rules (Amendment) Bill,Title: General Medical Council (Fitness to Practise) Rules (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.2,18.17
4268,2026-07-15T23:00:00Z,Hunting Act 2004 (Amendment) Bill,Title: Hunting Act 2004 (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,15.73
4255,2026-06-29T23:00:00Z,Water Regulation Bill,Title: Water Regulation Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.68
4083,2026-06-28T23:00:00Z,Courts and Tribunals Bill,Title: Courts and Tribunals Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.43
4228,2026-06-24T23:00:00Z,Dangerous Dogs Act 1991 (Amendment) Bill,Title: Dangerous Dogs Act 1991 (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,16.03
4234,2026-06-24T23:00:00Z,Highways Act 1980 (Amendment) Bill,Title: Highways Act 1980 (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.73
4238,2026-06-24T23:00:00Z,Public Health (Control of Disease) Act 1984 (Amendment) Bill,Title: Public Health (Control of Disease) Act 1984 (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.2,15.81
4216,2026-06-23T23:00:00Z,Statutory Instruments Act 1946 (Amendment) Bill,Title: Statutory Instruments Act 1946 (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.11
4185,2026-06-22T23:00:00Z,Battery Energy Storage (Planning and Regulation) Bill,Title: Battery Energy Storage (Planning and Regulation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,18.96
4164,2026-06-17T23:00:00Z,Domestic Abuse Protection Orders (Amendment) Bill,Title: Domestic Abuse Protection Orders (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.35,18.8
4090,2026-05-11T23:00:00Z,Ministerial Salaries (Amendment) Act 2026,Title: Ministerial Salaries (Amendment) Act 2026 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,19.41
3968,2026-05-07T23:00:00Z,Victims and Courts Act 2026,Title: Victims and Courts Act 2026 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.05,14.25
3931,2026-05-05T23:00:00Z,Statutory Adoption Pay (Report on Extension to the Self-Employed) Bill,Title: Statutory Adoption Pay (Report on Extension to the Self-Employed) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.7,17.66
3748,2026-05-05T23:00:00Z,Statutory Instruments (Amendment) Bill [HL],Title: Statutory Instruments (Amendment) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.68
4110,2026-05-05T23:00:00Z,Water Industry Act 1991 (Amendment) (Payment of Fines) Bill,Title: Water Industry Act 1991 (Amendment) (Payment of Fines) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.7,16.4
4117,2026-05-05T23:00:00Z,Water Regulation (No. 2) Bill,Title: Water Regulation (No. 2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,13.34
3951,2026-05-04T23:00:00Z,Food Products (Market Regulation and Public Procurement) Bill,Title: Food Products (Market Regulation and Public Procurement) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,17.9
4005,2026-05-04T23:00:00Z,Human Fertilisation and Embryology (Regulation) Bill,Title: Human Fertilisation and Embryology (Regulation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,21.58
4006,2026-05-04T23:00:00Z,International Court of Justice Advisory Opinion on Policies and Practices of Israel (Sanctions and Other Measures) Bill,Title: International Court of Justice Advisory Opinion on Policies and Practices of Israel (Sanctions and Other Measures) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,21.46
4007,2026-05-04T23:00:00Z,Managing Agents (Regulation) Bill,Title: Managing Agents (Regulation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.58
3857,2026-05-04T23:00:00Z,Mobile Homes Act 1983 (Amendment) Bill,Title: Mobile Homes Act 1983 (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.33
3880,2026-05-04T23:00:00Z,Roadworks (Regulation) Bill,Title: Roadworks (Regulation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.68
4033,2026-04-30T23:00:00Z,Ferry services (Integration and Regulation) Bill,Title: Ferry services (Integration and Regulation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,19.5
3942,2026-04-29T23:00:00Z,Artificial Intelligence (Regulation) Bill [HL],Title: Artificial Intelligence (Regulation) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,20.15
4085,2026-04-29T23:00:00Z,Autonomous Maritime Vessels (Regulation) Bill,Title: Autonomous Maritime Vessels (Regulation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.4,20.15
3835,2026-04-29T23:00:00Z,Building Regulations (Minimum Standards) Bill,Title: Building Regulations (Minimum Standards) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.9,18.68
3905,2026-04-29T23:00:00Z,Building Regulations (Swift Bricks) Bill,Title: Building Regulations (Swift Bricks) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.65,16.46
3977,2026-04-29T23:00:00Z,Child Abduction and Custody Act 1985 (Amendment) Bill,Title: Child Abduction and Custody Act 1985 (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.5,16.66
3818,2026-04-29T23:00:00Z,Courts (Remote Hearings) Bill,Title: Courts (Remote Hearings) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.43
3934,2026-04-29T23:00:00Z,Regulation of Cycling Bill [HL],Title: Regulation of Cycling Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.2
3821,2025-12-19T00:00:00Z,Dogs (Protection of Livestock) (Amendment) Act,Title: Dogs (Protection of Livestock) (Amendment) Act | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,16.72
2572,2025-10-28T00:00:00Z,Sentencing (Pre-consolidation Amendments) Act 2020,Title: Sentencing (Pre-consolidation Amendments) Act 2020 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,18.8
3752,2025-08-10T23:00:00Z,Product Regulation and Metrology Act 2025,Title: Product Regulation and Metrology Act 2025 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.11
3816,2025-06-18T23:00:00Z,Health and Safety at Work etc. Act 1974 (Amendment) Bill,Title: Health and Safety at Work etc. Act 1974 (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.85,12.11
3979,2025-06-10T23:00:00Z,Regulation of Bailiffs (Assessment and Report) Bill,Title: Regulation of Bailiffs (Assessment and Report) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.65
3828,2025-04-21T23:00:00Z,Dogs (Protection of Livestock) (Amendment) (No. 2) Bill,Title: Dogs (Protection of Livestock) (Amendment) (No. 2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,12.34
3560,2025-02-12T00:00:00Z,Health and Equality Acts (Amendment) Bill,Title: Health and Equality Acts (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,16.72
3591,2025-02-12T00:00:00Z,Landlord and Tenant Act 1985 (Amendment) Bill,Title: Landlord and Tenant Act 1985 (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.69
3582,2025-02-12T00:00:00Z,Titles Deprivation Act 1917 Amendment Bill,Title: Titles Deprivation Act 1917 Amendment Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.2,17.42
