id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4176,2026-08-27T00:00:00Z,Child-like Sexual Abuse Dolls (Offences) Bill,Title: Child-like Sexual Abuse Dolls (Offences) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.4,16.34
4128,2026-08-27T00:00:00Z,Commercial Payments Bill [HL],Title: Commercial Payments Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.22
4137,2026-08-27T00:00:00Z,Genocide Determination Bill [HL],Title: Genocide Determination Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.6,18.58
4276,2026-08-27T00:00:00Z,Home Cooling Bill,Title: Home Cooling Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.16
4132,2026-08-27T00:00:00Z,Local Plans (Burial Space) Bill [HL],Title: Local Plans (Burial Space) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,15.33
4022,2026-08-27T00:00:00Z,Northern Ireland Troubles Bill,Title: Northern Ireland Troubles Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.05,17.01
4167,2026-08-27T00:00:00Z,Northern Ireland Troubles (Criminal Investigations etc) Bill,Title: Northern Ireland Troubles (Criminal Investigations etc) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.7,21.59
4198,2026-08-27T00:00:00Z,Ponds (Permitted Development) Bill,Title: Ponds (Permitted Development) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.79
4030,2026-08-27T00:00:00Z,Railways Bill,Title: Railways Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.8
4080,2026-08-27T00:00:00Z,Representation of the People Bill,Title: Representation of the People Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.2
4127,2026-08-27T00:00:00Z,Sporting Events Bill [HL],Title: Sporting Events Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.43
4019,2026-08-26T00:00:00Z,Public Office (Accountability) Bill,Title: Public Office (Accountability) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,19.37
4146,2026-08-25T00:00:00Z,Microplastic Filters (Washing Machines) Bill [HL],Title: Microplastic Filters (Washing Machines) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.42
4143,2026-08-20T00:00:00Z,Leaseholder Remediation (Building Safety) Bill [HL],Title: Leaseholder Remediation (Building Safety) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.7,19.5
4142,2026-08-19T00:00:00Z,Creative Education Access Bill [HL],Title: Creative Education Access Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.55,17.94
4140,2026-08-19T00:00:00Z,National Security (State Threats) Act 2026,Title: National Security (State Threats) Act 2026 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.05,16.72
4123,2026-08-19T00:00:00Z,Steel Industry (Nationalisation) Act 2026,Title: Steel Industry (Nationalisation) Act 2026 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.68
4279,2026-07-23T00:00:00Z,Co-operative Capital Bill [HL],Title: Co-operative Capital Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,17.2
4278,2026-07-22T00:00:00Z,Hares (Close Season) Bill [HL],Title: Hares (Close Season) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.25
4139,2026-07-21T00:00:00Z,British Sovereignty Protection (Chagos Islands) Bill [HL],Title: British Sovereignty Protection (Chagos Islands) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,17.65
4125,2026-07-21T00:00:00Z,Civil Aviation (Consumer Protection and Regulatory Reform) Bill [HL],Title: Civil Aviation (Consumer Protection and Regulatory Reform) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.4,20.53
4138,2026-07-21T00:00:00Z,Cohabitation Rights Bill [HL],Title: Cohabitation Rights Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.01
4133,2026-07-21T00:00:00Z,Conduct of Undercover Policing and Surveillance Operatives Bill [HL],Title: Conduct of Undercover Policing and Surveillance Operatives Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.4,19.35
4136,2026-07-21T00:00:00Z,Corporate Waste Responsibility Bill [HL],Title: Corporate Waste Responsibility Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.05,18.68
4135,2026-07-21T00:00:00Z,House of Lords (Alternative Second Chamber) Bill [HL],Title: House of Lords (Alternative Second Chamber) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.04
4141,2026-07-21T00:00:00Z,Rights of Boat Dwellers Bill [HL],Title: Rights of Boat Dwellers Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,13.95
4126,2026-07-21T00:00:00Z,Social Housing Bill [HL],Title: Social Housing Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.43
4254,2026-07-20T00:00:00Z,Immigration and Asylum Bill,Title: Immigration and Asylum Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.79
4270,2026-07-20T00:00:00Z,Members of Parliament (Prohibition of Second Jobs) (Motion) Bill,Title: Members of Parliament (Prohibition of Second Jobs) (Motion) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.2,17.58
4277,2026-07-20T00:00:00Z,Registration of Stillbirths (England and Wales) Bill,Title: Registration of Stillbirths (England and Wales) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.2,16.34
4194,2026-07-20T00:00:00Z,Scotland (Independence Referendum) Bill,Title: Scotland (Independence Referendum) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,19.37
4157,2026-07-20T00:00:00Z,Terminally Ill Adults (End of Life) Bill,Title: Terminally Ill Adults (End of Life) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.3,15.69
4273,2026-07-16T00:00:00Z,Access to Elected Office Fund (Report) Bill,Title: Access to Elected Office Fund (Report) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.34
4275,2026-07-16T00:00:00Z,Chalk Streams (Sewerage Investment) Bill,Title: Chalk Streams (Sewerage Investment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.46
3896,2026-07-16T00:00:00Z,City of London (Markets) Bill,Title: City of London (Markets) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.9,15.73
4271,2026-07-16T00:00:00Z,Sale and Supply of Glue Traps (Prohibition) Bill,Title: Sale and Supply of Glue Traps (Prohibition) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.7,15.42
4274,2026-07-16T00:00:00Z,Street Works (Penalties for Utility Companies) Bill Bill,Title: Street Works (Penalties for Utility Companies) Bill Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.45,17.28
4253,2026-07-16T00:00:00Z,Supply and Appropriation (Main Estimates) Act 2026,Title: Supply and Appropriation (Main Estimates) Act 2026 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.65
4264,2026-07-15T00:00:00Z,"Data Publication and Quality (Immigration, Nationality and Country of Birth) Bill","Title: Data Publication and Quality (Immigration, Nationality and Country of Birth) Bill | Summary: No summary available | Description: No description available",UK_Parliament_Bills_Enriched_Corpus,1.4,20.34
4263,2026-07-15T00:00:00Z,Maximum Workplace Temperature Bill,Title: Maximum Workplace Temperature Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.79
4265,2026-07-15T00:00:00Z,Neurodivergence (Screening and Teacher Training) Bill,Title: Neurodivergence (Screening and Teacher Training) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,18.8
4266,2026-07-15T00:00:00Z,Short-term Let Accommodation Bill,Title: Short-term Let Accommodation Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,16.46
4044,2026-07-14T00:00:00Z,Cheltenham Borough Council (Markets) Bill,Title: Cheltenham Borough Council (Markets) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,17.2
4262,2026-07-10T00:00:00Z,Early Release of Prisoners (Restriction) Bill,Title: Early Release of Prisoners (Restriction) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.75,17.42
4130,2026-07-10T00:00:00Z,Lobbying Transparency (In-house Lobbyists) Bill [HL],Title: Lobbying Transparency (In-house Lobbyists) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.65
4261,2026-07-09T00:00:00Z,Mental Capacity (Duty to Assess) Bill,Title: Mental Capacity (Duty to Assess) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.42
4259,2026-07-09T00:00:00Z,Outdoor Education Bill,Title: Outdoor Education Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.68
4186,2026-07-06T00:00:00Z,Multi-Storey Car Parks (Safety) Bill,Title: Multi-Storey Car Parks (Safety) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,15.33
4131,2026-07-06T00:00:00Z,Nature’s Rights Bill [HL],Title: Nature’s Rights Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.43
4258,2026-07-03T00:00:00Z,Controlled Drugs (Procedure for Specification) Bill,Title: Controlled Drugs (Procedure for Specification) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,18.11
4256,2026-07-01T00:00:00Z,Child Savings Accounts (Mental Capacity and Disability) Bill,Title: Child Savings Accounts (Mental Capacity and Disability) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.1,19.15
