id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4035,2026-08-20T23:00:00Z,Cyber Security and Resilience (Network and Information Systems) Bill,Title: Cyber Security and Resilience (Network and Information Systems) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,19.94
4269,2026-07-15T23:00:00Z,Energy and Digital Infrastructure (Planning) Bill,Title: Energy and Digital Infrastructure (Planning) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,18.8
4187,2026-06-22T23:00:00Z,Telecommunications (Fixed-term Contracts) Bill,Title: Telecommunications (Fixed-term Contracts) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.68
4170,2026-06-17T23:00:00Z,Automated Online Software (Access and Transparency) Bill,Title: Automated Online Software (Access and Transparency) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.96
4086,2026-05-04T23:00:00Z,Online Services (Age Restrictions) Bill,Title: Online Services (Age Restrictions) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.2
4027,2026-04-30T23:00:00Z,Cyber Extortion and Ransomware (Reporting) Bill,Title: Cyber Extortion and Ransomware (Reporting) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.2,18.8
3800,2026-04-29T23:00:00Z,Access to Telecommunications Networks Bill,Title: Access to Telecommunications Networks Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,19.41
3942,2026-04-29T23:00:00Z,Artificial Intelligence (Regulation) Bill [HL],Title: Artificial Intelligence (Regulation) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,20.15
3766,2025-12-03T00:00:00Z,Property (Digital Assets etc) Act 2025,Title: Property (Digital Assets etc) Act 2025 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,18.8
3778,2025-09-10T23:00:00Z,Protection of Children (Digital Safety and Data Protection) Bill,Title: Protection of Children (Digital Safety and Data Protection) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.4,18.17
3725,2025-02-12T00:00:00Z,Child Sexual Abuse Material (Digital Devices) Bill,Title: Child Sexual Abuse Material (Digital Devices) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.4,19.62
3568,2025-02-12T00:00:00Z,Online Services (Cancellation) Bill,Title: Online Services (Cancellation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.58
3598,2025-02-12T00:00:00Z,Telecommunications Infrastructure (Consultation) Bill,Title: Telecommunications Infrastructure (Consultation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,23.3
3708,2025-02-12T00:00:00Z,Telecommunications Infrastructure (Requirement to Share Apparatus) Bill,Title: Telecommunications Infrastructure (Requirement to Share Apparatus) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,22.24
3430,2024-09-22T23:00:00Z,Data Protection and Digital Information Bill,Title: Data Protection and Digital Information Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2,18.8
3453,2024-09-18T23:00:00Z,"Digital Markets, Competition and Consumers Act 2024","Title: Digital Markets, Competition and Consumers Act 2024 | Summary: No summary available | Description: No description available",UK_Parliament_Bills_Enriched_Corpus,0.65,18.31
3137,2024-08-18T23:00:00Z,Online Safety Act 2023,Title: Online Safety Act 2023 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,15.43
3432,2023-11-02T00:00:00Z,Online Abuse (Reporting) Bill,Title: Online Abuse (Reporting) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.2,17.01
3206,2023-11-02T00:00:00Z,Online Sale of Goods (Safety) Bill,Title: Online Sale of Goods (Safety) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.2,14.64
3406,2023-10-31T00:00:00Z,"Defamation, Privacy, Freedom of Expression, Data Protection, Legal Services and Private Investigators Bill","Title: Defamation, Privacy, Freedom of Expression, Data Protection, Legal Services and Private Investigators Bill | Summary: No summary available | Description: No description available",UK_Parliament_Bills_Enriched_Corpus,2.1,22.29
3464,2023-10-30T00:00:00Z,Artificial Intelligence (Regulation and Workers' Rights) Bill,Title: Artificial Intelligence (Regulation and Workers' Rights) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,19.62
3069,2022-12-16T00:00:00Z,Product Security and Telecommunications Infrastructure Act 2022,Title: Product Security and Telecommunications Infrastructure Act 2022 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,21.59
3097,2022-04-28T23:00:00Z,Digital Devices (Access for Next of Kin) Bill,Title: Digital Devices (Access for Next of Kin) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.04
3093,2022-04-28T23:00:00Z,Digitally Altered Body Images Bill,Title: Digitally Altered Body Images Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.68
2893,2022-04-27T23:00:00Z,Digital Economy Act 2017 (Amendment) Bill [HL],Title: Digital Economy Act 2017 (Amendment) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.65
2886,2022-04-27T23:00:00Z,Digital Economy Act 2017 (Commencement of Part 3) Bill [HL],Title: Digital Economy Act 2017 (Commencement of Part 3) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.4,16.76
2806,2021-12-15T00:00:00Z,Telecommunications (Security) Act 2021,Title: Telecommunications (Security) Act 2021 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,20.94
2599,2021-05-04T23:00:00Z,Data Protection (Independent Complaint) Bill [HL],Title: Data Protection (Independent Complaint) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.85,18.11
2546,2021-05-04T23:00:00Z,Online Harms Reduction Regulator (Report) Bill [HL],Title: Online Harms Reduction Regulator (Report) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,17.65
2843,2021-05-03T23:00:00Z,Electrical Safety (Online Sales) Bill,Title: Electrical Safety (Online Sales) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,17.2
2520,2021-03-16T00:00:00Z,Telecommunications Infrastructure (Leasehold Property) Act 2021,Title: Telecommunications Infrastructure (Leasehold Property) Act 2021 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,21.58
2391,2020-04-02T23:00:00Z,Non-Domestic Rating (Preparation for Digital Services) Act 2019,Title: Non-Domestic Rating (Preparation for Digital Services) Act 2019 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.76
2464,2019-11-06T00:00:00Z,Telecommunications Infrastructure (Leasehold Property) Bill,Title: Telecommunications Infrastructure (Leasehold Property) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,22.36
2397,2019-09-23T23:00:00Z,Courts and Tribunals (Online Procedure) Bill [HL],Title: Courts and Tribunals (Online Procedure) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,16.34
2293,2019-09-18T23:00:00Z,Online Forums Bill,Title: Online Forums Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16
2036,2019-09-11T23:00:00Z,Digital Economy Act 2017 (Amendment) (Definition of Extreme Pornography) Bill [HL],Title: Digital Economy Act 2017 (Amendment) (Definition of Extreme Pornography) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,20.34
2368,2019-03-25T00:00:00Z,Online News Platforms (Regulation) Bill,Title: Online News Platforms (Regulation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.2
2158,2018-05-23T23:00:00Z,Data Protection Act 2018,Title: Data Protection Act 2018 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,16.22
2014,2018-02-09T00:00:00Z,Telecommunications Infrastructure (Relief from Non-Domestic Rates) Act 2018,Title: Telecommunications Infrastructure (Relief from Non-Domestic Rates) Act 2018 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.3,19.94
1859,2017-05-10T23:00:00Z,Digital Economy Act 2017,Title: Digital Economy Act 2017 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.79
1808,2017-05-01T23:00:00Z,Online Privacy Protection Bill [HL],Title: Online Privacy Protection Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,17.2
1805,2017-05-01T23:00:00Z,Online Safety Bill [HL],Title: Online Safety Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,15.43
1740,2016-05-12T23:00:00Z,Mobile Telecommunications Network Coverage (Contractual Obligations) Bill,Title: Mobile Telecommunications Network Coverage (Contractual Obligations) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,23.55
1754,2016-05-11T23:00:00Z,Criminal Offences (Misuse of Digital Technologies and Services) (Consolidation) Bill,Title: Criminal Offences (Misuse of Digital Technologies and Services) (Consolidation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.45,21.82
1322,2014-05-14T23:00:00Z,Surveillance of Telecommunications (Judicial Oversight) Bill,Title: Surveillance of Telecommunications (Judicial Oversight) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,-0.35,21.58
544,2011-04-07T23:00:00Z,Digital Economy Act 2010,Title: Digital Economy Act 2010 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.79
396,2011-01-17T00:00:00Z,Online Purchasing of Goods and Services (Age Verification) Bill [HL],Title: Online Purchasing of Goods and Services (Age Verification) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2,17.89
603,2010-03-12T00:00:00Z,Digital Heritage Bill,Title: Digital Heritage Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.68
267,2008-10-30T00:00:00Z,Online Purchasing of Goods and Services (Age Verification) Bill,Title: Online Purchasing of Goods and Services (Age Verification) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2,18.17
99,2007-11-01T00:00:00Z,Telecommunications Masts (Planning Control) Bill,Title: Telecommunications Masts (Planning Control) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,19.41
57,2007-10-26T23:00:00Z,Digital Switchover (Disclosure of Information) Act 2007,Title: Digital Switchover (Disclosure of Information) Act 2007 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,18.96
